sample_barcode	journal	lib_id	library_plate	sample_seq_id	seq_id	R1	R2
LIB-MP011-F3	MP011	LIB-MP011-F3	LIB00005	LIB00005-MP011-F3_1	LIB00005-MP005-F3	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00005-MP005-F3/sample_S545_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00005-MP005-F3/sample_S545_L004_R2_001.fastq.gz
PaPr00000146MP	MP014	LIB-MP014-H4	LIB00008	LIB00008-MP014-H4_1	LIB00008-MP014-H4	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-2/LIB00008-MP014-H4/sample_S529_L003_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-2/LIB00008-MP014-H4/sample_S529_L003_R2_001.fastq.gz
DoBa00000019MP	MP011	LIB-MP011-G10	LIB00005	LIB00005-MP011-G10_1	LIB00005-MP005-G10	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00005-MP005-G10/sample_S576_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00005-MP005-G10/sample_S576_L004_R2_001.fastq.gz
PaPr00000239MP	MP011	LIB-MP011-G3	LIB00005	LIB00005-MP011-G3_1	LIB00005-MP005-G3	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00005-MP005-G3/sample_S546_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00005-MP005-G3/sample_S546_L004_R2_001.fastq.gz
DoBa00000004MP	MP011	LIB-MP011-G4	LIB00005	LIB00005-MP011-G4_1	LIB00005-MP005-G4	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00005-MP005-G4/sample_S551_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00005-MP005-G4/sample_S551_L004_R2_001.fastq.gz
DoBa00000064MP	MP014	LIB-MP014-A5	LIB00008	LIB00008-MP014-A5_1	LIB00008-MP014-A5	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00008-MP014-A5/sample_S662_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00008-MP014-A5/sample_S662_L004_R2_001.fastq.gz
DoBa00000021MP	MP014	LIB-MP014-D2	LIB00008	LIB00008-MP014-D2_1	LIB00008-MP014-D2	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-2/LIB00008-MP014-D2/sample_S509_L003_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-2/LIB00008-MP014-D2/sample_S509_L003_R2_001.fastq.gz
PaPr00000127MP	MP011	LIB-MP011-H4	LIB00005	LIB00005-MP011-H4_1	LIB00005-MP005-H4	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00005-MP005-H4/sample_S552_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00005-MP005-H4/sample_S552_L004_R2_001.fastq.gz
DoBa00000051MP	MP014	LIB-MP014-F8	LIB00008	LIB00008-MP014-F8_1	LIB00008-MP014-F8	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00008-MP014-F8/sample_S691_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00008-MP014-F8/sample_S691_L004_R2_001.fastq.gz
PaPr00000231MP	MP012	LIB-MP012-A12	LIB00006	LIB00006-MP012-A12_1	LIB00006-MP006-A12	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-A12/sample_S656_L004_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-3/LIB00006-MP006-A12/sample_S656_L004_R2_001.fastq.gz
